what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1490893378092
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490893403009
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490925313404
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1490925320190
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1490925340291
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1490925347410
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490925348470
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490925384641
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490925384653
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490925384682
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490925437660
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490935003186
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1490935015255
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490935031703
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490935033342
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1490935136843
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1490935153034
opened,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1490935153925
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1490935154115
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1490935154634
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1490935155071
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1490935155592
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1490935189635
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1490935201255
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490935265578
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490935273446
opened,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1490935274166
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1490935274291
executed,command,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.edit.text.openLocalFile",1490935274294
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490935289510
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490935537749
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1490935540396
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.selectAll",1490935544452
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490935553337
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490935555398
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490935555714
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490935558841
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.saveAs",1490935561291
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490935567104
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490935589443
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490935594922
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490935597236
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490935601949
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490935834617
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1490935857650
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1490935857910
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1490935857954
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1490935858100
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1490935858482
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1490935858689
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1490935861032
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1490935861373
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1490935862004
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1490935862402
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1490935862854
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490936004753
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490936007497
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1490936088440
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490936089710
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490936091212
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490936092710
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490936103895
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490936105853
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490936111203
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490936113282
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490936216359
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1490936260862
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1490936279387
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490936324883
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490936620423
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490936622180
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490936624710
