what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jdt.core,3.6.0.v_A58,"org.eclipse.jdt.core",1489300737289
started,bundle,org.eclipse.jdt.core.manipulation,1.3.0.v20100520-0800,"org.eclipse.jdt.core.manipulation",1489300737811
started,bundle,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui",1489300737871
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1489300740308
started,bundle,org.eclipse.wst.server.core,1.1.202.v20100518,"org.eclipse.wst.server.core",1489300740814
started,bundle,org.eclipse.wst.server.ui,1.1.203.v20100601,"org.eclipse.wst.server.ui",1489300740862
started,bundle,org.eclipse.wst.web,1.1.400.v201005270700,"org.eclipse.wst.web",1489300740887
started,bundle,org.eclipse.emf.ecore,2.6.0.v20100614-1136,"org.eclipse.emf.ecore",1489300740964
started,bundle,org.eclipse.wst.common.emf,1.2.0.v201005200700,"org.eclipse.wst.common.emf",1489300740979
started,bundle,org.eclipse.jem.util,2.1.0.v201005130500,"org.eclipse.jem.util",1489300741013
started,bundle,org.eclipse.emf.ecore.xmi,2.5.0.v20100521-1846,"org.eclipse.emf.ecore.xmi",1489300741029
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.0.v201004110600,"org.eclipse.wst.common.emfworkbench.integration",1489300741036
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1489300741226
started,bundle,org.eclipse.wst.common.modulecore,1.2.0.v201005200200,"org.eclipse.wst.common.modulecore",1489300741234
started,bundle,org.eclipse.wst.jsdt.debug.ui,1.0.0.v201005250108,"org.eclipse.wst.jsdt.debug.ui",1489300741296
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1489300744886
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1489300761658
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1489300761889
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1489300763391
executed,command,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.edit.text.openLocalFile",1489300763422
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1489300791531
error,log,,,"Unhandled event loop exception",1489300795793
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1489300800969
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1489300808248
started,bundle,org.eclipse.compare.core,3.5.100.I20100526-0800,"org.eclipse.compare.core",1489300811898
opened,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1489300812047
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1489300812292
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1489300812534
started,bundle,org.eclipse.wst.xsl.exslt.core,1.0.0.v201005240426,"org.eclipse.wst.xsl.exslt.core",1489300813021
started,bundle,org.eclipse.wst.internet.cache,1.0.400.v201004280700,"org.eclipse.wst.internet.cache",1489300813487
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1489300818337
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1489300856082
activated,view,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.ui.explorer",1489300870099
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1489300874531
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1489300883669
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1489300885980
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1489300888943
activated,view,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.ui.explorer",1489300898937
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1489300900109
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1489301009587
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1489301011659
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1489301015912
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1489301379587
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1489301388138
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1489301645920
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1489301654865
started,bundle,org.eclipse.php.server.ui,2.2.0.v20100616-1900,"org.eclipse.php.server.ui",1489301685524
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1489301685634
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1489301689749
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1489301689892
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1489301691425
executed,command,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.commands.RunLast",1489301691527
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1489301691623
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1489301693200
error,log,,,"The debug port 10000 is in use. Please select a different port for the debugger.",1489301693487
executed,command,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.commands.RunLast",1489301709583
error,log,,,"The debug port 10000 is in use. Please select a different port for the debugger.",1489301709593
activated,view,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views.ContentOutline",1489301723920
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1489301726064
executed,command,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.commands.DebugLast",1489301730704
error,log,,,"The debug port 10000 is in use. Please select a different port for the debugger.",1489301730711
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1489301747974
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1489301751309
executed,command,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.edit.text.openLocalFile",1489301751441
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1489301773123
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.window.openEditorDropDown",1489301773151
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1489301775503
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1489301777446
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1489301888621
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1489301919637
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1489302004465
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1489302663884
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1489303572799
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1489303574867
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1489303591187
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1489303605583
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1489303662838
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1489303670648
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1489303699207
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1489303701036
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1489303810039
executed,command,,,"AUTOGEN:::org.eclipse.php.editor.ruler.actions/org.eclipse.php.internal.ui.editor.PhpSelectRulerAction",1489303839717
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1489303988878
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1489304003827
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1489304009517
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1489304051955
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1489304056781
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1489304073039
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1489304168508
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1489304173090
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1489304179999
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1489304182133
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1489304184426
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1489309421668
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1489309766270
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1489309776406
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1489309778022
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1489309779927
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1489309818913
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1489309888407
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1489309889508
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1489309897690
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1489309916606
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1489309918100
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1489309927800
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1489309966353
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1489309973610
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1489309995454
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1489309996904
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1489310053191
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1489310127887
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1489310159646
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1489310161366
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1489310196553
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1489310200789
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1489310202057
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1489310206315
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1489310232813
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1489310352450
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1489310356879
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1489310370672
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1489310473519
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1489310475513
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1489311725680
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1489311734691
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1489311737474
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1489311745092
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1489311799637
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1489311803779
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1489311838393
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1489311839760
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1489311840847
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1489311842104
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1489311859033
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1489311875968
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1489311877842
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1489311882301
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1489311891639
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1489311894344
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1489311960739
activated,view,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views.ContentOutline",1489312448554
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1489312456544
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1489312463113
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1489312464451
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1489313183772
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1489317901793
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1489317913015
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1489317922820
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1489317933629
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1489317936144
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1489317941516
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1489317989470
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1489317993648
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1489317996760
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1489317998302
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1489318004218
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1489318011042
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1489318012505
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1489318018289
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1489318022917
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1489318202134
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1489318232429
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1489318252352
opened,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1489318253055
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1489318253369
executed,command,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.edit.text.openLocalFile",1489318253371
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1489318289863
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1489318291115
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1489318325931
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1489318335316
opened,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1489318335879
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1489318336234
executed,command,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.edit.text.openLocalFile",1489318336236
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1489318364975
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1489318366946
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1489318377563
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1489318400093
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1489318402552
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1489318405945
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1489318436990
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1489318564280
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1489318567718
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1489318613668
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1489318636774
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1489318655466
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1489318657508
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1489318662617
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1489318665142
