what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1490201915808
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490201921729
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490201923019
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1490201949248
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1490201950021
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490201954532
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490201955899
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490201957488
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490201958954
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1490201959161
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1490201990861
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1490201996722
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1490202024102
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1490202036625
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1490202107906
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1490202114474
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.selectAll",1490202116939
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1490202117796
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490202119398
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490202166872
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490202166925
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490202169116
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490202175668
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490202277921
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490202295400
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490202296343
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1490202326035
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490202328739
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490202344800
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490202385076
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490202415938
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1490202456678
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490202458639
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490202474252
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490202474313
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490202474446
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490202497276
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490202501801
opened,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1490202516176
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1490202516453
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1490202557877
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1490202571045
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1490202573327
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490202575581
