what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490640273714
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1490640299776
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490640305041
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490640314126
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1490640315689
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490640319913
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490640344314
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490640346709
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490640352412
opened,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1490640352994
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1490640353226
executed,command,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.edit.text.openLocalFile",1490640353229
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490640425695
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490640605990
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490640634340
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490640761245
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1490640764825
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1490640785909
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490640788105
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490640820402
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490640820593
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490640870952
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490640872050
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490640876270
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1490640879056
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1490640912084
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1490640920680
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1490641054428
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1490641057953
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490641076758
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490641201004
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1490641205495
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1490641232479
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490641234545
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490641546100
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490641585547
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490641965782
