what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1489408262742
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1489408265253
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1489408265943
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1489408269447
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1489408334560
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1489408366239
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.selectAll",1489408391698
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1489408392578
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1489408394239
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1489408570130
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1489408577950
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1489408579550
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1489408827386
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.selectAll",1489408830430
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1489408832115
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1489408843215
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1489408844250
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1489408852480
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1489408860760
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1489408867411
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1489408867834
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1489408869450
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1489408869659
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.selectAll",1489408872670
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1489408874815
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1489408905483
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1489408915595
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1489408917830
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1489408934118
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1489408935346
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1489409072489
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1489409075456
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.selectAll",1489409076601
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1489409078437
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.selectAll",1489409097269
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1489409098103
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1489409099447
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1489416398554
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.selectAll",1489416402193
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1489416404100
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1489416554518
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1489416557933
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1489416669689
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1489416691618
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1489416698475
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.selectAll",1489416702056
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1489416702940
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1489416704298
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1489416775343
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1489416777430
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1489416794916
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1489416806440
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.selectAll",1489416879289
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1489416880130
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1489416881302
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1489416918413
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.selectAll",1489417040621
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1489417043690
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1489417045362
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1489417425138
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1489417492498
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1489417731251
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1489417747228
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1489417948524
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1489417952048
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1489417953601
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1489417958782
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1489417971055
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1489420060902
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1489421308355
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.selectAll",1489421421568
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1489421422509
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1489421425994
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1489424448100
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1489424450183
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1489424459675
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1489424463358
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1489424681323
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1489424741496
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1489424746093
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1489424866817
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1489424868097
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.selectAll",1489424966894
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1489424967972
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1489424969197
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1489425069828
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1489425071137
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1489425073389
started,bundle,org.eclipse.wst.jsdt.debug.core,1.0.0.v201006082045,"org.eclipse.wst.jsdt.debug.core",1489425073842
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1489425074054
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1489425076418
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1489425076824
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1489425078283
closed,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1489425079770
stopped,bundle,org.eclipse.compare.win32,1.0.100.I20100505-1245,"org.eclipse.compare.win32",1489425081741
stopped,bundle,org.eclipse.dltk.testing,1.0.0.v20090914-1703,"org.eclipse.dltk.testing",1489425081907
stopped,bundle,org.eclipse.php.server.ui,2.2.0.v20100616-1900,"org.eclipse.php.server.ui",1489425081907
stopped,bundle,org.eclipse.php.debug.ui,2.2.0.v20100616-1900,"org.eclipse.php.debug.ui",1489425081907
stopped,bundle,org.eclipse.dltk.debug.ui,2.0.0.v20100115-2213,"org.eclipse.dltk.debug.ui",1489425082271
stopped,bundle,org.eclipse.dltk.formatter,2.0.0.v20100304-1959,"org.eclipse.dltk.formatter",1489425082354
stopped,bundle,org.eclipse.dltk.rse.ui,2.0.0.v20100115-2213,"org.eclipse.dltk.rse.ui",1489425082354
stopped,bundle,org.eclipse.dltk.validators.externalchecker,1.0.0.v20090803-1754,"org.eclipse.dltk.validators.externalchecker",1489425082354
stopped,bundle,org.eclipse.dltk.validators.ui,2.0.0.v20091214-1712,"org.eclipse.dltk.validators.ui",1489425082354
stopped,bundle,org.eclipse.php.debug.core,2.2.0.v20100616-1900,"org.eclipse.php.debug.core",1489425082354
stopped,bundle,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.ui",1489425082378
stopped,bundle,org.eclipse.dltk.ui,2.0.0.v20100603-0936,"org.eclipse.dltk.ui",1489425082379
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1489425082512
stopped,bundle,org.eclipse.wst.xsl.jaxp.debug.ui,1.0.100.v201004290328,"org.eclipse.wst.xsl.jaxp.debug.ui",1489425082585
stopped,bundle,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui",1489425082922
stopped,bundle,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui",1489425082922
stopped,bundle,org.eclipse.rse.importexport,1.2.100.v201003010830,"org.eclipse.rse.importexport",1489425083149
stopped,bundle,org.eclipse.rse.shells.ui,3.0.200.v201006041352,"org.eclipse.rse.shells.ui",1489425083263
stopped,bundle,org.eclipse.rse.files.ui,3.1.100.v201005221100,"org.eclipse.rse.files.ui",1489425083462
activated,perspective,org.eclipse.php.ui,,"org.eclipse.php.perspective",1489940001026
started,bundle,org.eclipse.osgi,3.6.0.v20100517,"org.eclipse.osgi",1489940001030
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20100503,"org.eclipse.equinox.simpleconfigurator",1489940001033
started,bundle,com.ibm.icu,4.2.1.v20100412,"com.ibm.icu",1489940001037
started,bundle,org.eclipse.compare.core,3.5.100.I20100526-0800,"org.eclipse.compare.core",1489940001070
started,bundle,org.eclipse.core.contenttype,3.4.100.v20100505-1235,"org.eclipse.core.contenttype",1489940001075
started,bundle,org.eclipse.core.databinding.observable,1.3.0.I20100601-0800,"org.eclipse.core.databinding.observable",1489940001078
started,bundle,org.eclipse.core.expressions,3.4.200.v20100505,"org.eclipse.core.expressions",1489940001082
started,bundle,org.eclipse.core.filebuffers,3.5.100.v20100520-0800,"org.eclipse.core.filebuffers",1489940001084
started,bundle,org.eclipse.core.filesystem,1.3.0.v20100526-0737,"org.eclipse.core.filesystem",1489940001086
started,bundle,org.eclipse.core.jobs,3.5.0.v20100515,"org.eclipse.core.jobs",1489940001089
started,bundle,org.eclipse.core.net,1.2.100.I20100511-0800,"org.eclipse.core.net",1489940001091
started,bundle,org.eclipse.core.resources,3.6.0.v20100526-0737,"org.eclipse.core.resources",1489940001093
started,bundle,org.eclipse.core.runtime,3.6.0.v20100505,"org.eclipse.core.runtime",1489940001099
started,bundle,org.eclipse.core.runtime.compatibility,3.2.100.v20100505,"org.eclipse.core.runtime.compatibility",1489940001117
started,bundle,org.eclipse.core.runtime.compatibility.auth,3.2.200.v20100517,"org.eclipse.core.runtime.compatibility.auth",1489940001120
started,bundle,org.eclipse.debug.core,3.6.0.v20100519,"org.eclipse.debug.core",1489940001123
started,bundle,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui",1489940001158
started,bundle,org.eclipse.dltk.core,2.0.0.v20100603-0936,"org.eclipse.dltk.core",1489940001161
started,bundle,org.eclipse.dltk.core.index.sql,2.0.0.v20100616-2015,"org.eclipse.dltk.core.index.sql",1489940001162
started,bundle,org.eclipse.dltk.core.index.sql.h2,2.0.0.v20100616-2015,"org.eclipse.dltk.core.index.sql.h2",1489940001165
started,bundle,org.eclipse.dltk.launching,2.0.0.v20100524-0038,"org.eclipse.dltk.launching",1489940001168
started,bundle,org.eclipse.dltk.ui,2.0.0.v20100603-0936,"org.eclipse.dltk.ui",1489940001959
started,bundle,org.eclipse.emf.common,2.6.0.v20100614-1136,"org.eclipse.emf.common",1489940001961
started,bundle,org.eclipse.emf.ecore,2.6.0.v20100614-1136,"org.eclipse.emf.ecore",1489940001977
started,bundle,org.eclipse.emf.ecore.xmi,2.5.0.v20100521-1846,"org.eclipse.emf.ecore.xmi",1489940001979
started,bundle,org.eclipse.epp.usagedata.gathering,1.3.0.R201005261100,"org.eclipse.epp.usagedata.gathering",1489940001981
started,bundle,org.eclipse.epp.usagedata.recording,1.3.0.R201005261100,"org.eclipse.epp.usagedata.recording",1489940001983
started,bundle,org.eclipse.equinox.app,1.3.0.v20100512,"org.eclipse.equinox.app",1489940001985
started,bundle,org.eclipse.equinox.common,3.6.0.v20100503,"org.eclipse.equinox.common",1489940001987
started,bundle,org.eclipse.equinox.ds,1.2.0.v20100507,"org.eclipse.equinox.ds",1489940001990
started,bundle,org.eclipse.equinox.event,1.2.0.v20100503,"org.eclipse.equinox.event",1489940001993
