what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1490606982643
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490606984051
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490606988937
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490606999255
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490607015141
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490607023071
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490607111860
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1490607120017
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1490607135274
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490607136597
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490607187555
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1490607207580
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1490607226088
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1490607231816
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490607233604
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490607235917
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1490607241398
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1490607257001
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490607263884
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490607266264
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490607271028
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490607271961
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1490607296395
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1490607308354
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1490607313948
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1490607316743
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1490607326256
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1490607389878
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490607396817
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490607476706
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490607481469
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490607482786
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1490607500244
