what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490379080713
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490379085860
opened,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1490379086254
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1490379086430
executed,command,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.edit.text.openLocalFile",1490379086432
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1490379103395
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1490379122013
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1490379123517
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1490379134136
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490379197683
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490379311031
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1490379314039
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490379353413
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490379412164
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1490379414484
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1490379415899
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1490379431493
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1490379433115
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1490379434512
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1490379456082
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1490379506334
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1490379512820
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1490379517752
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1490379520292
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490379529674
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490379541092
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490379672757
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490379674611
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490379675359
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490379747187
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1490379818264
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1490379832868
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1490379861282
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1490379864569
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1490379937603
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490379943089
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490379952122
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490379966336
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490380008239
activated,view,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.ui.explorer",1490380057119
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1490380083831
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1490380122514
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1490380124852
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1490380157564
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1490380172499
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1490380179512
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1490380247727
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490380250087
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490380252269
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1490380261173
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1490380264887
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1490380289891
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490380296225
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490380332381
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490380336790
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490380383964
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1490380431351
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490380434068
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490380474738
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1490380558343
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490380598184
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490380609147
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1490380615727
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490380650099
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490380680448
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1490380682370
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490380685203
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490380718505
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1490380758357
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490380760751
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490380769735
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1490380779361
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490380792476
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490380804012
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490380816118
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490380839927
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1490380880210
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490380881736
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490380896195
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1490380926715
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490380929740
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490380979074
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1490381068952
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490381070333
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490381075027
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490381076908
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490381087780
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490381097975
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490381100933
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490381111096
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490381137683
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490381143863
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490381150233
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1490381183133
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490381184747
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490381190222
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1490381203886
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1490381208944
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1490381212489
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1490381220343
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1490381224278
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1490381234087
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1490381239319
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1490381242538
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1490381247449
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1490381248799
