what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1490022571272
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1490022586445
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490022589655
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490022665572
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490022688092
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490022704816
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490022725708
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490022738177
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1490022754457
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490022756037
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490022769783
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490022778278
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490022779463
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490022780884
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490022795447
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1490022838905
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490022854216
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490022861735
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1490022897833
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490022899310
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490022906229
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490022926174
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490022942441
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1490023029909
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1490023033618
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1490023048580
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1490023077124
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1490023092362
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1490023097417
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1490023101683
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1490023130936
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490023132646
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490024782526
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1490025054251
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490025055956
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490025111975
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490025526340
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490025544161
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490025783622
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490025812755
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490025832683
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490025943661
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490025945065
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490025946466
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1490025960541
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1490025987835
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490025992961
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490026004498
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1490026155435
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490026204124
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490026224279
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490026227551
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490026229843
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1490026231228
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490026242383
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490026243658
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1490026267513
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490026278225
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490026283069
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1490026285804
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490026430991
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490026466782
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490026685854
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490026725630
activated,view,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.ui.explorer",1490026736775
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490026755008
opened,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1490026764568
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1490026764733
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490026764924
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1490026770012
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1490026778893
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490026780437
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490026798863
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1490026800091
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490026859375
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490027150456
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1490027154693
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1490027162905
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1490027297400
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490027298849
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490027321031
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1490027430777
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1490027446983
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490028383382
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490028512662
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490028519906
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490028687831
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1490028773468
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1490028775278
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1490028784766
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1490028800439
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1490028809379
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1490028811070
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1490028824684
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1490028835761
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1490028842826
activated,view,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.ui.explorer",1490028883258
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1490028883925
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1490028895076
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490028915277
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490029268111
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490029279223
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490029303250
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1490029305999
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490029321305
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490029580794
